,Index
0,Addition of Alcohols Scope 1
1,Addition of Alcohols Scope 2
2,Addition of Alcohols Scope 3
3,Addition of Alcohols Scope 4
4,Addition of Alcohols Scope 5
5,Addition of Alcohols Scope 6
6,Addition of Alcohols Scope 7
7,Addition of Alcohols Scope 8
8,Addition of Alcohols Scope 9
9,Addition of Alcohols Scope 10
10,Addition of Alcohols Scope 11
11,Addition of Alcohols Scope 12
12,Addition of Alcohols Scope 13
13,Addition of Alcohols Scope 14
14,Addition of Alcohols Scope 15
15,Addition of Alcohols Scope 16
16,Addition of Alcohols Scope 17
17,Addition of Alcohols Scope 18
18,Addition of Alcohols Scope 19
19,Addition of Alcohols Scope 20
20,Addition of thiols Catalyst & solvent screening da 1
21,Addition of thiols Catalyst & solvent screening da 2
22,Addition of thiols Catalyst & solvent screening da 3
23,Addition of thiols Catalyst & solvent screening da 4
24,Addition of thiols Catalyst & solvent screening da 5
25,Addition of thiols Catalyst & solvent screening da 6
26,Addition of thiols Catalyst & solvent screening da 7
27,Addition of thiols Catalyst & solvent screening da 8
28,Addition of thiols Effect of catalyst loading 1
29,Addition of thiols Effect of catalyst loading 2
30,Addition of thiols Effect of catalyst loading 3
31,Addition of thiols Effect of catalyst loading 4
32,Addition of thiols Effect of catalyst loading 5
33,Addition of thiols Effect of catalyst loading 6
34,Addition of thiols Effect of catalyst loading 7
35,Addition of thiols Imine scope 1
36,Addition of thiols Imine scope 2
37,Addition of thiols Imine scope 3
38,Addition of thiols Imine scope 4
39,Addition of thiols Imine scope 5
40,Addition of thiols Imine scope 6
41,Addition of thiols Imine scope 7
42,Addition of thiols Imine scope 8
43,Addition of thiols Thiol scope 1
44,Addition of thiols Thiol scope 2
45,Addition of thiols Thiol scope 3
46,Addition of thiols Thiol scope 4
47,Addition of thiols Thiol scope 5
48,Addition of thiols Thiol scope 6
49,Addition of thiols Thiol scope 7
50,Addition of thiols Thiol scope 8
51,Addition of thiols Thiol scope 9
52,Addition of thiols Thiol scope 10
53,Addition of thiols Thiol scope 11
54,Hydrophosphonylation of imines Catalyst screening data 1
55,Hydrophosphonylation of imines Catalyst screening data 2
56,Hydrophosphonylation of imines Catalyst screening data 3
57,Hydrophosphonylation of imines Catalyst screening data 4
58,Hydrophosphonylation of imines Scope 1
59,Hydrophosphonylation of imines Scope 2
60,Hydrophosphonylation of imines Scope 3
61,Hydrophosphonylation of imines Scope 4
62,Hydrophosphonylation of imines Scope 5
63,Hydrophosphonylation of imines Scope 6
64,Hydrophosphonylation of imines Scope 7
65,Hydrophosphonylation of imines Scope 8
66,Hydrophosphonylation of imines Scope 9
67,Hydrophosphonylation of imines Scope 10
68,Hydrophosphonylation of imines Scope 11
69,Hydrophosphonylation of imines Scope 12
